GTYR,40.88%,0.00%,0.00%,72.05%,(66.78),Non-Compliant
GVGL,0.00%,0.00%,0.33%,76.21%,(5.55),Compliant
GWLC,5.72%,0.00%,1.39%,87.77%,(15.68),Compliant
HABSM,0.13%,34.83%,2.07%,61.12%,8.32,Non-Compliant1
HALEON,1.03%,6.41%,0.93%,58.36%,(14.93),Compliant
HCAR,1.73%,10.33%,1.88%,56.81%,(151.79),Compliant1
HINOON,5.85%,10.69%,1.32%,59.03%,28.34,Compliant
HTL,37.65%,1.82%,0.25%,84.21%,(35.46),Compliant
HUBC,35.45%,24.23%,4.50%,40.10%,(9.53),Compliant
ICL,20.29%,0.25%,0.10%,70.60%,(40.89),Compliant
IDYM,53.00%,1.09%,0.22%,74.08%,(532.94),Non-Compliant
ILP,34.81%,0.48%,0.03%,70.31%,(43.33),Compliant
SEARL,7.51%,0.20%,0.05%,59.19%,(9.76),Compliant
IMAGE,5.62%,0.00%,0.00%,77.13%,(1.60),Compliant
INDU,0.25%,41.63%,6.44%,31.63%,79.96,Non-Compliant
INIL,23.70%,0.00%,0.05%,84.38%,(278.99),Compliant
ISL,22.22%,0.00%,0.03%,87.17%,(57.10),Compliant
ITTEFAQ,15.42%,0.00%,0.12%,58.86%,(9.77),Compliant
JSML,8.14%,0.16%,0.00%,95.84%,(81.70),Compliant1
KAPCO,12.29%,20.74%,15.02%,39.31%,26.79,Non-Compliant
KASBM,N/A,N/A,N/A,88.83%,(1.25),Compliant
KEL,23.29%,2.74%,0.49%,47.28%,(10.82),Compliant
KOHC,8.17%,25.50%,2.15%,69.28%,(8.92),Compliant
KOHE,23.63%,0.00%,0.81%,38.85%,10.00,Compliant
KOHP,0.00%,0.02%,3.84%,66.36%,3.36,Compliant
KOIL,0.00%,1.06%,52.88%,87.48%,3.05,Non-Compliant
KOSM,119.84%,0.00%,0.00%,86.64%,(20.06),Non-Compliant
KSBP,27.74%,0.00%,0.47%,40.38%,(23.28),Compliant
KTML,29.64%,1.45%,0.45%,88.95%,(165.21),Compliant
LCI,24.34%,0.00%,0.02%,62.56%,(70.74),Compliant
LOADS,38.79%,0.07%,0.07%,75.80%,(12.76),Non-Compliant
LOTCHEM,5.35%,27.58%,1.46%,40.05%,3.74,Compliant
LPL,13.60%,0.02%,2.10%,33.61%,26.96,Compliant
LUCK,31.14%,1.83%,0.50%,78.31%,(585.02),Compliant
MACFL,0.00%,0.00%,0.00%,72.27%,(20.78),Compliant
MARI,0.38%,8.31%,3.14%,53.46%,287.70,Compliant
MEBL,N/A,N/A,N/A,93.38%,(1280.66),Compliant
MERIT,36.70%,0.00%,0.00%,63.99%,(10.13),Compliant
META,0.00%,0.00%,0.00%,98.22%,(40.16),Compliant
MFFL,28.33%,0.00%,0.01%,73.39%,(46.07),Compliant
MFL,54.56%,0.01%,0.12%,85.58%,(75.26),Non-Compliant
MLCF,22.30%,0.84%,0.06%,92.87%,(33.11),Compliant
MODAM,N/A,N/A,N/A,97.32%,(1.37),Compliant
MRNS,38.53%,3.27%,0.13%,89.48%,(52.07),Non-Compliant1
MTL,33.90%,0.00%,0.41%,73.31%,(121.90),Compliant
MUGHAL,23.47%,0.00%,0.09%,76.25%,(60.83),Compliant
NAGC,44.24%,9.41%,1.05%,67.19%,(180.04),Non-Compliant
NATF,39.63%,5.18%,0.10%,77.28%,(62.96),Non-Compliant
NCL,57.08%,0.08%,0.05%,79.76%,(154.79),Non-Compliant
NCPL,4.74%,1.17%,4.55%,41.62%,27.03,Compliant
NETSOL,9.58%,0.00%,0.30%,17.97%,66.67,Compliant
NML,32.19%,12.68%,1.86%,67.43%,(54.51),Compliant
NPL,2.91%,0.06%,5.52%,40.34%,46.35,Non-Compliant
NRL,18.98%,0.00%,0.01%,73.22%,(468.08),Compliant
NRSL,44.09%,0.00%,0.00%,54.47%,(1.69),Non-Compliant
OBOY,0.00%,0.00%,0.00%,5.33%,3.80,Compliant
OCTOPUS,0.00%,0.00%,9.24%,5.82%,14.05,Non-Compliant
OGDC,0.00%,18.43%,6.44%,25.63%,149.26,Compliant
OLPM,N/A,N/A,N/A,90.60%,(108.12),Compliant
OTSU,39.53%,0.00%,0.11%,60.91%,(47.81),Non-Compliant
PABC,22.57%,1.93%,1.38%,73.93%,(12.39),Compliant
PACE,83.65%,0.00%,1.21%,83.66%,(22.00),Non-Compliant
PAEL,30.00%,0.04%,0.00%,60.10%,(1.82),Compliant
PAKD,4.30%,7.60%,1.73%,10.17%,77.30,Compliant
PAKOXY,41.17%,0.00%,0.02%,79.08%,(102.75),Non-Compliant
PCAL,40.89%,0.00%,0.00%,74.65%,(167.07),Non-Compliant
PHDL,0.00%,0.00%,0.32%,98.17%,(13.26),Compliant
PIAA,136.97%,0.00%,0.37%,82.81%,(144.43),Non-Compliant
PIBTL,25.91%,0.00%,0.19%,86.96%,(6.29),Compliant
PICT,0.00%,0.00%,0.73%,14.91%,8.51,Compliant
PIOC,21.35%,0.00%,0.03%,95.10%,(160.92),Compliant
PKGP,2.28%,0.02%,2.85%,30.62%,45.78,Compliant
PKGS,35.71%,4.27%,0.52%,78.16%,(761.95),Compliant
PMI,N/A,N/A,N/A,81.48%,(0.26),Compliant
PNSC,3.99%,13.82%,2.42%,62.13%,83.98,Compliant
POL,0.00%,13.57%,10.06%,27.46%,67.81,Non-Compliant
POWER,14.77%,4.17%,0.86%,81.38%,(20.88),Compliant
PPL,0.00%,10.29%,3.40%,26.22%,110.16,Compliant
PREMA,9.67%,0.00%,0.03%,87.05%,(6.05),Compliant
PRET,45.12%,0.00%,0.00%,78.69%,(2021.65),Non-Compliant
PRL,26.51%,27.42%,0.05%,60.36%,(41.75),Compliant
PSMC,11.20%,0.00%,1.15%,44.55%,(355.64),Compliant
PSO,33.23%,0.00%,0.47%,40.18%,(317.49),Compliant
PSX,2.93%,44.61%,17.79%,45.81%,5.45,Non-Compliant
PTC,55.37%,21.87%,3.99%,50.14%,(65.03),Non-Compliant
PTL,35.92%,0.00%,0.07%,72.60%,(45.39),Compliant
QUICE,0.00%,0.00%,0.18%,85.60%,(5.59),Compliant
REWM,53.92%,5.73%,0.02%,74.73%,(485.38),Non-Compliant
RPL,6.38%,0.00%,0.36%,70.37%,(2.16),Compliant
RUPL,23.28%,0.00%,0.07%,91.15%,(107.13),Compliant
SAZEW,0.01%,0.00%,0.00%,71.51%,(90.53),Compliant
SEPL,0.40%,38.33%,9.50%,41.59%,55.82,Non-Compliant
SGABL,8.16%,0.00%,0.00%,97.38%,(17.28),Compliant
SGF,24.81%,0.00%,4.54%,57.46%,(10.19),Compliant
SGPL,0.00%,0.00%,0.00%,59.84%,0.10,Compliant
SHEL,6.55%,0.00%,0.09%,73.87%,(282.95),Compliant
SHEZ,32.84%,0.00%,0.05%,81.46%,(187.91),Compliant
SHFA,4.23%,4.46%,0.49%,71.98%,(29.88),Compliant
SIEM,0.49%,7.68%,0.15%,11.05%,561.57,Non-Compliant1
SITC,0.00%,0.00%,0.00%,81.16%,(511.78),Compliant
IBLHL,3.07%,0.00%,0.00%,45.09%,6.42,Compliant
SMCPL,0.00%,0.00%,0.04%,49.18%,(1.71),Compliant
SNGP,25.13%,0.00%,0.89%,24.47%,(371.96),Compliant3
SPEL,12.98%,3.72%,0.02%,81.11%,(2.69),Compliant
SPL,10.15%,0.00%,0.20%,77.89%,(19.73),Compliant
SPWL,40.05%,22.61%,0.05%,37.47%,4.83,Non-Compliant
SRVI,51.00%,0.36%,0.24%,77.64%,(886.50),Non-Compliant
SSGC,14.70%,0.08%,1.04%,22.75%,(188.44),Compliant3
SSML,38.24%,0.00%,0.00%,82.91%,(47.00),Non-Compliant
STCL,21.03%,7.35%,0.50%,85.02%,(19.54),Compliant
STJT,33.45%,0.00%,0.01%,71.59%,(139.97),Compliant
STML,0.09%,1.86%,0.22%,61.12%,(24.96),Compliant
STPL,33.33%,3.63%,0.52%,70.82%,(5.32),Compliant
SYS,14.75%,2.00%,0.25%,42.46%,22.91,Compliant
TELE,12.75%,0.00%,0.64%,16.37%,9.06,Compliant
TGL,24.43%,0.51%,0.06%,86.74%,(42.73),Compliant
THALL,8.51%,15.98%,4.46%,66.70%,69.47,Compliant
THCCL,13.37%,9.68%,1.04%,62.13%,(0.39),Compliant
TOMCL,11.61%,0.00%,0.01%,46.17%,9.36,Compliant
TOWL,0.27%,2.25%,1.97%,64.68%,47.21,Compliant
TPL,23.41%,7.59%,3.53%,64.35%,(19.71),Compliant
TPLP,5.32%,2.78%,1.47%,85.44%,1.16,Compliant
TPLT,27.59%,0.00%,5.43%,59.02%,(11.13),Non-Compliant
TREET,23.53%,0.34%,0.01%,84.60%,(67.26),Compliant
TRG,0.00%,99.98%,100.00%,0.00%,113.76,Non-Compliant
TSPL,0.00%,34.23%,11.57%,5.08%,12.16,Non-Compliant
UCAPM,N/A,N/A,N/A,99.78%,(0.17),Compliant
UNITY,9.86%,4.44%,0.57%,48.99%,(13.78),Compliant
WAVES,30.11%,0.00%,0.31%,70.79%,(15.63),Compliant
WHALE,41.70%,0.00%,0.01%,72.14%,(152.08),Non-Compliant
WTL,35.07%,0.26%,3.75%,67.56%,(6.10),Compliant
YOUW,40.10%,0.00%,0.00%,64.88%,(8.13),Non-Compliant
AHL,N/A,N/A,N/A,N/A,N/A,NC by nature
BOK,N/A,N/A,N/A,N/A,N/A,NC by nature
DEL,N/A,N/A,N/A,N/A,N/A,NC by nature
ESBL,N/A,N/A,N/A,N/A,N/A,NC by nature
FCSC,N/A,N/A,N/A,N/A,N/A,NC by nature
FDIBL,N/A,N/A,N/A,N/A,N/A,NC by nature
FNEL,N/A,N/A,N/A,N/A,N/A,NC by nature
HIFA,N/A,N/A,N/A,N/A,N/A,NC by nature
HUMNL,N/A,N/A,N/A,N/A,N/A,NC by nature
ICIBL,N/A,N/A,N/A,N/A,N/A,NC by nature
JSCL,N/A,N/A,N/A,N/A,N/A,NC by nature
MDTL,N/A,N/A,N/A,N/A,N/A,NC by nature
NEXT,N/A,N/A,N/A,N/A,N/A,NC by nature
OLPL,N/A,N/A,N/A,N/A,N/A,NC by nature
AABS,63.30%,18.60%,2.28%,51.24%,(11.27),Non-Compliant1
ADAMS,7.22%,0.37%,0.13%,91.51%,(138.37),Compliant1
ADOS,3.13%,0.00%,0.06%,10.89%,12.75,Non-Compliant3
AHCL,26.96%,15.65%,8.46%,67.61%,(2.62),Non-Compliant
AHTM,20.20%,0.28%,0.05%,85.88%,(112.83),Compliant
AKGL,29.20%,0.00%,0.06%,77.33%,(18.41),Compliant
ALNRS,22.96%,2.28%,0.60%,84.89%,(349.23),Compliant1
ANTM,39.93%,0.00%,0.00%,87.17%,(100.96),Non-Compliant
ARCTM,0.00%,0.00%,0.01%,87.20%,(28.46),Compliant
ARM,N/A,N/A,N/A,77.32%,(6.70),Compliant
ARUJ,48.00%,0.00%,0.00%,61.52%,(4.39),Non-Compliant
ASHT,0.00%,6.05%,2.99%,77.41%,0.78,Compliant
ASTM,0.00%,0.00%,3.44%,73.18%,(31.69),Compliant
AWTX,69.04%,0.37%,0.00%,84.61%,(2169.83),Non-Compliant
AWWAL,N/A,N/A,N/A,61.93%,4.22,Compliant
BAFS,26.82%,0.00%,0.26%,89.94%,(156.18),Compliant1
BATA,27.89%,3.64%,0.70%,67.09%,(699.76),Compliant
BFMOD,N/A,N/A,N/A,85.99%,1.74,Compliant
BHAT,60.88%,26.71%,0.28%,62.18%,(3174.55),Non-Compliant
BNWM,5.78%,0.00%,0.00%,86.64%,(10.80),Compliant
BPL,20.83%,0.00%,0.01%,75.57%,(25.38),Compliant
BTL,40.85%,20.95%,0.19%,63.65%,(828.35),Non-Compliant
CCM,10.00%,0.22%,0.25%,79.47%,(20.53),Compliant
CFL,12.76%,0.45%,0.12%,62.58%,(17.46),Compliant
CHAS,35.48%,0.00%,0.04%,92.13%,(324.62),Compliant1
DAAG,23.20%,0.00%,0.00%,55.62%,(0.76),Compliant
DADX,15.68%,0.00%,0.00%,39.60%,(3.86),Compliant
DIIL,15.70%,8.89%,0.29%,72.43%,(4.05),Compliant
DINT,9.79%,0.00%,0.00%,76.09%,(310.96),Compliant
DLL,41.33%,0.04%,1.03%,41.75%,(70.90),Non-Compliant
DYNO,13.03%,0.00%,0.04%,53.90%,17.47,Compliant
ELCM,0.00%,0.00%,0.02%,84.02%,(76.49),Compliant
ELSM,48.90%,8.42%,0.21%,66.91%,(321.67),Non-Compliant
EMCO,27.61%,0.00%,0.00%,74.40%,(26.16),Compliant
FANM,N/A,N/A,N/A,51.33%,4.94,Non-Compliant
FASM,45.05%,12.25%,1.27%,57.59%,(543.38),Non-Compliant
FCONM,No Financial available on PSX portal,,,,,No Opinion
FEM,N/A,N/A,N/A,80.95%,1.29,Compliant
FFLM,N/A,N/A,N/A,93.03%,(0.37),Compliant
FIBLM,N/A,N/A,N/A,33.51%,5.57,Compliant
FIMM,N/A,N/A,N/A,76.30%,(234.65),Compliant
FML,29.83%,0.00%,0.10%,71.83%,(50.21),Compliant
FPRM,N/A,N/A,N/A,52.24%,(1.52),Compliant
FRCL,8.93%,0.00%,0.10%,77.82%,(38.42),Compliant
FRSM,7.15%,0.00%,0.06%,83.68%,(172.32),Compliant1
FTMM,N/A,N/A,N/A,82.85%,(6.01),Compliant
FTSM,N/A,N/A,N/A,59.91%,2.87,Compliant
GADT,38.69%,9.22%,0.64%,81.90%,(827.83),Non-Compliant
GAMON,0.00%,0.12%,0.07%,75.02%,(0.07),Compliant
GATI,20.26%,0.00%,0.00%,77.11%,(483.76),Compliant
GCIL,16.44%,8.46%,5.86%,54.19%,2.58,Non-Compliant
GEMPAPL,19.05%,0.00%,0.26%,72.60%,0.91,Compliant
GEMSPNL,7.08%,0.00%,0.11%,26.83%,7.07,Compliant
GFIL,42.60%,0.00%,0.00%,79.78%,(31.21),Non-Compliant
GIL,0.00%,0.00%,0.00%,92.60%,(352.71),Compliant
GLPL,0.07%,0.14%,1.23%,30.63%,(5.95),Compliant
GOC,0.00%,4.69%,0.04%,57.37%,24.57,Compliant
HAEL,25.77%,0.00%,0.13%,67.96%,(3.48),Compliant
HAFL,0.00%,0.40%,0.00%,97.19%,(6.43),Compliant
HINO,0.07%,0.00%,1.41%,72.50%,(70.66),Compliant
HMM,N/A,N/A,N/A,52.43%,4.80,Compliant
